MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,0,50.0,9000.0,0,0,3,3,3,4,2,9,2,2,0,2,2.0,3.0,1949.0,1950.0,1,1,0,0,2,0.0,2,2,1,2,2,3,4,50.0,1,0.0,430.0,480.0,1,2,0,3,480.0,0.0,0.0,480.0,1.0,0.0,0.0,0.0,1.0,1.0,2,4.0,6,0.0,-1,5,1958.0,1,1.0,308.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,10.0,2006.0,8,0
4,4,50.0,5925.0,0,0,3,3,3,4,2,17,2,2,0,0,3.0,6.0,1910.0,1950.0,1,1,12,13,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,600.0,600.0,3,1,0,4,600.0,368.0,0.0,968.0,0.0,0.0,1.0,0.0,2.0,1.0,2,6.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0.0,5.0,2009.0,8,0
0,3,50.0,5000.0,0,0,3,0,3,4,1,3,2,2,0,2,1.0,3.0,1946.0,1950.0,1,1,12,13,2,0.0,1,1,3,-1,-1,0,0,0.0,0,0.0,0.0,0.0,1,1,0,2,334.0,0.0,0.0,334.0,0.0,0.0,1.0,0.0,1.0,1.0,1,2.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2007.0,8,4
6,0,50.0,8500.0,0,1,3,3,3,4,2,9,1,2,0,5,4.0,4.0,1920.0,1950.0,2,1,3,3,2,0.0,2,1,0,2,2,1,1,0.0,1,0.0,649.0,649.0,1,2,0,4,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,2,6.0,6,0.0,-1,5,1920.0,1,1.0,250.0,2,1,0,0.0,54.0,172.0,0.0,0.0,0.0,0,3,2,0.0,7.0,2008.0,8,4
1,4,153.0,4118.0,0,2,2,2,3,0,1,17,1,2,0,2,4.0,4.0,1941.0,1950.0,1,1,13,14,2,0.0,2,2,1,2,2,1,1,0.0,1,0.0,693.0,693.0,3,1,0,3,693.0,0.0,0.0,693.0,0.0,0.0,1.0,0.0,2.0,1.0,1,4.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,20.0,0.0,0.0,0.0,0.0,0,0,2,0.0,3.0,2006.0,8,4
15,4,70.0,5600.0,0,0,3,3,3,4,2,9,2,2,1,5,4.0,5.0,1930.0,1950.0,3,1,12,15,2,0.0,1,1,3,-1,-1,0,0,0.0,0,0.0,0.0,0.0,1,1,0,4,372.0,720.0,0.0,1092.0,0.0,0.0,2.0,0.0,3.0,2.0,1,7.0,4,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3500.0,7.0,2010.0,8,4
1,4,40.0,3636.0,0,0,3,3,3,4,2,9,2,2,0,2,4.0,4.0,1922.0,1950.0,1,1,0,0,2,0.0,2,2,0,2,1,1,1,0.0,1,0.0,796.0,796.0,1,1,0,4,796.0,0.0,0.0,796.0,0.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,100.0,0.0,0.0,0.0,0,3,2,0.0,1.0,2008.0,8,4
0,0,66.0,8712.0,1,0,3,2,3,4,1,9,2,2,0,2,5.0,5.0,1952.0,1952.0,3,1,13,14,2,0.0,1,2,1,2,2,3,1,0.0,1,0.0,540.0,540.0,1,2,0,3,1044.0,0.0,0.0,1044.0,0.0,0.0,1.0,0.0,2.0,1.0,1,4.0,6,0.0,-1,2,1952.0,1,2.0,504.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,54.0,6.0,2010.0,8,2
0,3,68.0,9571.0,0,0,3,3,3,4,2,7,2,2,0,2,5.0,3.0,1958.0,1958.0,1,1,2,2,2,0.0,2,1,1,2,1,1,1,0.0,1,0.0,1276.0,1276.0,1,2,1,3,1276.0,0.0,0.0,1276.0,0.0,0.0,1.0,0.0,3.0,1.0,2,5.0,4,0.0,-1,1,1958.0,1,1.0,350.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2009.0,0,0
1,4,51.0,6120.0,0,0,3,3,3,4,2,3,2,2,0,2,2.0,3.0,1936.0,1950.0,1,1,0,0,2,0.0,1,1,0,2,1,1,1,0.0,1,0.0,264.0,264.0,3,1,0,3,800.0,0.0,0.0,800.0,0.0,0.0,1.0,0.0,1.0,1.0,1,4.0,0,1.0,0,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2009.0,5,4
1,3,60.0,8400.0,0,0,3,2,3,4,2,18,2,2,0,2,2.0,5.0,1920.0,1950.0,1,1,13,14,2,0.0,2,2,1,2,1,1,3,290.0,1,0.0,0.0,290.0,1,2,0,2,438.0,0.0,0.0,438.0,0.0,0.0,1.0,0.0,1.0,1.0,1,3.0,6,0.0,-1,5,1930.0,1,1.0,246.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2009.0,8,4
1,3,69.5,10020.0,0,0,2,0,3,4,0,7,2,2,0,2,1.0,1.0,1922.0,1950.0,1,1,13,14,2,0.0,1,1,0,1,0,4,4,350.0,1,0.0,333.0,683.0,1,3,0,3,904.0,0.0,0.0,904.0,1.0,0.0,0.0,1.0,1.0,1.0,1,4.0,0,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,3.0,2009.0,8,4
1,3,60.0,10800.0,0,2,3,3,3,4,2,17,2,2,0,2,4.0,6.0,1927.0,2007.0,1,1,13,14,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,656.0,656.0,1,2,1,4,968.0,0.0,0.0,968.0,0.0,0.0,2.0,0.0,4.0,1.0,2,5.0,6,0.0,-1,5,1928.0,1,1.0,216.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,8.0,2007.0,8,4
4,4,52.0,5720.0,0,0,3,3,3,4,2,17,0,2,0,0,5.0,6.0,1941.0,1950.0,1,1,13,14,2,0.0,2,2,1,2,2,1,1,0.0,1,0.0,676.0,676.0,1,4,1,4,676.0,455.0,0.0,1131.0,0.0,0.0,1.0,1.0,3.0,1.0,2,5.0,6,0.0,-1,5,1941.0,1,1.0,200.0,2,2,2,26.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,8.0,2009.0,8,0
1,3,45.0,8248.0,0,2,3,3,3,4,2,7,2,2,0,2,3.0,3.0,1914.0,1950.0,1,1,11,12,2,0.0,2,2,0,2,2,1,4,41.0,1,0.0,823.0,864.0,1,2,0,2,864.0,0.0,0.0,864.0,1.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,2,0.0,9.0,2008.0,8,4
1,4,60.0,8967.0,0,0,3,3,3,0,2,9,2,2,0,2,5.0,2.0,1920.0,1950.0,1,1,8,8,2,0.0,2,1,0,1,0,1,1,0.0,1,0.0,961.0,961.0,1,3,1,0,1077.0,0.0,0.0,1077.0,0.0,0.0,1.0,0.0,2.0,1.0,2,6.0,1,0.0,-1,5,1920.0,1,1.0,338.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,11.0,2007.0,8,0
1,4,60.0,6324.0,0,0,2,3,3,4,2,3,1,7,0,2,4.0,6.0,1927.0,1950.0,1,1,8,8,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,520.0,520.0,1,1,0,4,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,1,4.0,6,0.0,-1,5,1920.0,1,1.0,240.0,1,2,2,49.0,0.0,87.0,0.0,0.0,0.0,0,0,2,0.0,5.0,2008.0,8,4
0,3,69.5,6627.0,0,0,2,3,3,0,2,3,1,2,0,2,3.0,6.0,1949.0,1950.0,3,1,12,13,2,0.0,2,2,1,-1,-1,0,0,0.0,0,0.0,0.0,0.0,0,2,0,4,720.0,0.0,0.0,720.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,5,1955.0,1,1.0,287.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,7.0,2008.0,8,4
1,4,30.0,5232.0,0,2,0,2,3,4,2,17,0,2,0,2,5.0,5.0,1925.0,2004.0,1,1,13,14,2,0.0,2,2,0,1,2,1,1,0.0,1,0.0,680.0,680.0,1,3,0,1,764.0,0.0,0.0,764.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,5,1965.0,1,2.0,504.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2008.0,8,4
13,4,21.0,2001.0,0,0,3,3,3,4,2,10,2,2,3,5,4.0,5.0,1970.0,1970.0,1,1,5,5,1,80.0,2,2,1,2,2,1,1,0.0,1,0.0,546.0,546.0,1,1,1,4,546.0,546.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,2,6.0,6,0.0,-1,1,1970.0,1,1.0,286.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2007.0,8,4
3,2,60.0,9000.0,0,0,3,3,3,0,2,20,2,2,0,1,6.0,3.0,1928.0,1950.0,1,1,13,14,2,0.0,2,2,0,1,1,1,1,0.0,1,0.0,784.0,784.0,1,2,0,3,784.0,0.0,0.0,784.0,0.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,5,1950.0,1,2.0,360.0,1,1,0,0.0,0.0,91.0,0.0,0.0,0.0,0,0,2,0.0,10.0,2009.0,8,4
1,3,55.0,5350.0,0,0,2,3,3,4,2,3,2,2,0,2,3.0,2.0,1940.0,1966.0,1,1,13,10,2,0.0,2,0,1,2,2,1,1,0.0,1,0.0,728.0,728.0,1,4,1,4,1306.0,0.0,0.0,1306.0,0.0,0.0,1.0,0.0,3.0,1.0,1,6.0,4,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,263.0,0.0,0.0,0.0,0.0,0.0,0,2,2,450.0,5.0,2010.0,8,4
